"segment_id","forecast_month","gross_recovery_for_month"
"prime_q2",39,"5254.09096063650000"
"prime_q2",40,"5171.98500160680000"
"prime_q2",41,"5089.71521807220000"
"prime_q2",42,"4995.59249238240000"
"prime_q2",43,"4904.38003342400000"
"prime_q2",44,"4818.25192133880000"
"prime_q2",45,"4740.81548200470000"
"prime_q2",46,"4667.43541011540000"
"prime_q2",47,"4605.90880316400000"
"prime_q2",48,"4534.04937872250000"
"prime_q2",49,"4475.08953996480000"
"prime_q2",50,"4401.37054735140000"
"prime_q2",51,"4324.69247339520000"
"prime_q2",52,"4256.11739231120000"
"prime_q2",53,"4178.32924377370000"
"prime_q2",54,"4103.16611944800000"
"prime_q2",55,"4042.81475452690000"
"prime_q2",56,"3970.30161869460000"
"prime_q2",57,"3904.24484535750000"
"prime_q2",58,"3826.92961287000000"
"prime_q2",59,"3764.31870823380000"
"prime_q2",60,"3695.91489465840000"
"prime_q2",61,"3638.92472784160000"
"prime_q2",62,"3599.26252423550000"
"prime_q2",63,"3538.13516718200000"
"prime_q2",64,"3488.52748356200000"
"prime_q2",65,"3432.82861635210000"
"prime_q2",66,"3377.30549491440000"
"prime_q2",67,"3326.12426106240000"
"prime_q2",68,"3276.35535669960000"
"prime_q2",69,"3243.79845344380000"
"prime_q2",70,"3187.70425810970000"
"prime_q2",71,"3137.97714687000000"
"prime_q2",72,"3092.10746326770000"
"prime_q2",73,"3033.77912396240000"
"prime_q2",74,"2984.86084575000000"
"prime_q2",75,"2939.20760153800000"
"prime_q2",76,"2892.78802712240000"
"prime_q2",77,"2838.46596874500000"
"prime_q2",78,"2787.82074941830000"
"prime_q2",79,"2745.63942473670000"
"prime_q2",80,"2691.27862308360000"
"prime_q2",81,"2637.98421735270000"
"prime_q2",82,"2585.75620754400000"
"prime_q2",83,"2537.79840206210000"
"prime_q2",84,"2490.97898637560000"
"prime_q3",10,"13.67009666880000"
"prime_q3",11,"143.54305716960000"
"prime_q3",12,"472.62091968000000"
"prime_q3",13,"682.53373762560000"
"prime_q3",14,"978.59351019300000"
"prime_q3",15,"1209.38969736500000"
"prime_q3",16,"1409.00138024880000"
"prime_q3",17,"1666.13354346260000"
"prime_q3",18,"1892.14889323600000"
"prime_q3",19,"2161.48169886520000"
"prime_q3",20,"2252.61501202080000"
"prime_q3",21,"2614.35790563000000"
"prime_q3",22,"2749.26178490010000"
"prime_q3",23,"2932.89449772480000"
"prime_q3",24,"3163.95479687100000"
"prime_q3",25,"3429.26360722260000"
"prime_q3",26,"3650.29443448530000"
"prime_q3",27,"3823.14718925040000"
"prime_q3",28,"4103.75406102150000"
"prime_q3",29,"4292.89111273040000"
"prime_q3",30,"4466.61321191640000"
"prime_q3",31,"4521.90566736720000"
